departure,arrival,date,prices,lowest_price
GVA,XAP,Wed Aug 06 2025,"[{'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '1,702.55'}]",
GVA,CIZ,Wed Aug 06 2025,[],
GVA,EEA,Wed Aug 06 2025,[],
GVA,JCS,Wed Aug 06 2025,[],
GVA,JJD,Wed Aug 06 2025,[],
GVA,CGB,Wed Aug 06 2025,"[{'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '2,047.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '2,047.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '2,047.55'}, {'price': 'CHF', 'currency': '2,047.55'}, {'price': 'CHF', 'currency': '2,047.55'}, {'price': 'CHF', 'currency': '2,047.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '1,706.55'}, {'price': 'CHF', 'currency': '2,047.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '1,706.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '1,706.55'}, {'price': 'CHF', 'currency': '1,706.55'}, {'price': 'CHF', 'currency': '2,047.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '1,706.55'}, {'price': 'CHF', 'currency': '1,706.55'}, {'price': 'CHF', 'currency': '1,706.55'}, {'price': 'CHF', 'currency': '1,706.55'}]",
GVA,CMA,Wed Aug 06 2025,[],
GVA,CWB,Wed Aug 06 2025,"[{'price': 'CHF', 'currency': '1,293.55'}, {'price': 'CHF', 'currency': '1,293.55'}, {'price': 'CHF', 'currency': '1,293.55'}, {'price': 'CHF', 'currency': '1,293.55'}, {'price': 'CHF', 'currency': '2,002.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '1,293.55'}, {'price': 'CHF', 'currency': '2,002.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '1,293.55'}, {'price': 'CHF', 'currency': '2,002.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '1,293.55'}, {'price': 'CHF', 'currency': '1,706.55'}, {'price': 'CHF', 'currency': '2,002.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,002.55'}, {'price': 'CHF', 'currency': '1,293.55'}, {'price': 'CHF', 'currency': '1,293.55'}, {'price': 'CHF', 'currency': '1,706.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '2,002.55'}, {'price': 'CHF', 'currency': '1,293.55'}, {'price': 'CHF', 'currency': '1,293.55'}, {'price': 'CHF', 'currency': '1,706.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,002.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,002.55'}, {'price': 'CHF', 'currency': '1,293.55'}, {'price': 'CHF', 'currency': '1,293.55'}, {'price': 'CHF', 'currency': '1,706.55'}, {'price': 'CHF', 'currency': '2,006.55'}]",
GVA,ERN,Wed Aug 06 2025,[],
GVA,FEC,Wed Aug 06 2025,[],
